class,kind,selector,address,size,basic_blocks,symbol
WCLGVoiceHoldRecognizer,-,wclgTeardownWaveView,0x83910,720,14,method.WCLGVoiceHoldRecognizer.wclgTeardownWaveView
WCLGVoiceHoldRecognizer,-,wclgUpdateWaveStatusForTouches:,0x83c1c,1028,12,method.WCLGVoiceHoldRecognizer.wclgUpdateWaveStatusForTouches:
WCLGVoiceHoldRecognizer,-,wclgBeginRecording,0x840b4,392,5,method.WCLGVoiceHoldRecognizer.wclgBeginRecording
WCLGVoiceHoldRecognizer,-,touchesBegan:withEvent:,0x842f0,816,19,method.WCLGVoiceHoldRecognizer.touchesBegan:withEvent:
WCLGVoiceHoldRecognizer,-,touchesMoved:withEvent:,0x84734,312,5,method.WCLGVoiceHoldRecognizer.touchesMoved:withEvent:
WCLGVoiceHoldRecognizer,-,touchesEnded:withEvent:,0x848b8,424,6,method.WCLGVoiceHoldRecognizer.touchesEnded:withEvent:
WCLGVoiceHoldRecognizer,-,touchesCancelled:withEvent:,0x84ab8,376,6,method.WCLGVoiceHoldRecognizer.touchesCancelled:withEvent:
WCLGVoiceHoldRecognizer,-,reset,0x84c7c,220,4,method.WCLGVoiceHoldRecognizer.reset
WCLGVoiceHoldRecognizer,-,toolView,0x84d58,32,1,method.WCLGVoiceHoldRecognizer.toolView
WCLGVoiceHoldRecognizer,-,setToolView:,0x84d78,20,1,method.WCLGVoiceHoldRecognizer.setToolView:
WCLGVoiceHoldRecognizer,-,recording,0x84d8c,16,1,method.WCLGVoiceHoldRecognizer.recording
WCLGVoiceHoldRecognizer,-,setRecording:,0x84d9c,16,1,method.WCLGVoiceHoldRecognizer.setRecording:
WCLGVoiceHoldRecognizer,-,pendingTouches,0x84dac,16,1,method.WCLGVoiceHoldRecognizer.pendingTouches
WCLGVoiceHoldRecognizer,-,setPendingTouches:,0x84dbc,20,1,method.WCLGVoiceHoldRecognizer.setPendingTouches:
WCLGVoiceHoldRecognizer,-,pendingEvent,0x84dd0,16,1,method.WCLGVoiceHoldRecognizer.pendingEvent
WCLGVoiceHoldRecognizer,-,setPendingEvent:,0x84de0,20,1,method.WCLGVoiceHoldRecognizer.setPendingEvent:
WCLGVoiceHoldRecognizer,-,holdBlock,0x84df4,16,1,method.WCLGVoiceHoldRecognizer.holdBlock
WCLGVoiceHoldRecognizer,-,setHoldBlock:,0x84e04,12,1,method.WCLGVoiceHoldRecognizer.setHoldBlock:
WCLGVoiceHoldRecognizer,-,waveView,0x84e10,16,1,method.WCLGVoiceHoldRecognizer.waveView
WCLGVoiceHoldRecognizer,-,setWaveView:,0x84e20,20,1,method.WCLGVoiceHoldRecognizer.setWaveView:
WCLGVoiceHoldRecognizer,-,dimmedTextView,0x84e34,16,1,method.WCLGVoiceHoldRecognizer.dimmedTextView
WCLGVoiceHoldRecognizer,-,setDimmedTextView:,0x84e44,20,1,method.WCLGVoiceHoldRecognizer.setDimmedTextView:
WCLGVoiceHoldRecognizer,-,savedTextColor,0x84e58,16,1,method.WCLGVoiceHoldRecognizer.savedTextColor
WCLGVoiceHoldRecognizer,-,setSavedTextColor:,0x84e68,20,1,method.WCLGVoiceHoldRecognizer.setSavedTextColor:
WCLGVoiceHoldRecognizer,-,savedTintColor,0x84e7c,16,1,method.WCLGVoiceHoldRecognizer.savedTintColor
WCLGVoiceHoldRecognizer,-,setSavedTintColor:,0x84e8c,20,1,method.WCLGVoiceHoldRecognizer.setSavedTintColor:
WCLGVoiceHoldRecognizer,-,hintFloatLabel,0x84ea0,16,1,method.WCLGVoiceHoldRecognizer.hintFloatLabel
WCLGVoiceHoldRecognizer,-,setHintFloatLabel:,0x84eb0,20,1,method.WCLGVoiceHoldRecognizer.setHintFloatLabel:
WCLGVoiceHoldRecognizer,-,waveBaseColor,0x84ec4,16,1,method.WCLGVoiceHoldRecognizer.waveBaseColor
WCLGVoiceHoldRecognizer,-,setWaveBaseColor:,0x84ed4,20,1,method.WCLGVoiceHoldRecognizer.setWaveBaseColor:
WCLGVoiceHoldRecognizer,-,waveLockColor,0x84ee8,16,1,method.WCLGVoiceHoldRecognizer.waveLockColor
WCLGVoiceHoldRecognizer,-,setWaveLockColor:,0x84ef8,16,1,method.WCLGVoiceHoldRecognizer.setWaveLockColor:
WCLGVoiceHoldRecognizer,-,startLocationInWindow,0x84f08,20,1,method.WCLGVoiceHoldRecognizer.startLocationInWindow
WCLGVoiceHoldRecognizer,-,setStartLocationInWindow:,0x84f1c,20,1,method.WCLGVoiceHoldRecognizer.setStartLocationInWindow:
WCLGAvatarPickerHandler,-,imagePickerController:didFinishPickingMediaWithInfo:,0x11a280,552,8,method.WCLGAvatarPickerHandler.imagePickerController:didFinishPickingMediaWithInfo:
WCLGAvatarPickerHandler,-,imagePickerControllerDidCancel:,0x11a50c,68,1,method.WCLGAvatarPickerHandler.imagePickerControllerDidCancel:
WCLGAvatarPickerHandler,-,wxid,0x11a550,8,1,method.WCLGAvatarPickerHandler.wxid
WCLGAvatarPickerHandler,-,setWxid:,0x11a558,8,1,method.WCLGAvatarPickerHandler.setWxid:
WCLGAvatarPickerHandler,-,onDone,0x11a560,8,1,method.WCLGAvatarPickerHandler.onDone
WCLGAvatarPickerHandler,-,setOnDone:,0x11a568,8,1,method.WCLGAvatarPickerHandler.setOnDone:
WCLGAvatarPickerHandler,-,retainSelf,0x11a570,8,1,method.WCLGAvatarPickerHandler.retainSelf
WCLGAvatarPickerHandler,-,setRetainSelf:,0x11a578,12,1,method.WCLGAvatarPickerHandler.setRetainSelf:
WCLGImageLibraryPickerViewController,-,initWithCategory:title:onPick:,0x11b3d0,392,5,method.WCLGImageLibraryPickerViewController.initWithCategory:title:onPick:
WCLGImageLibraryPickerViewController,-,viewDidLoad,0x11b558,2344,3,method.WCLGImageLibraryPickerViewController.viewDidLoad
WCLGImageLibraryPickerViewController,-,closeTapped,0x11be80,20,1,method.WCLGImageLibraryPickerViewController.closeTapped
WCLGImageLibraryPickerViewController,-,collectionView:numberOfItemsInSection:,0x11be94,76,1,sym.func.0011be94
WCLGImageLibraryPickerViewController,-,collectionView:layout:sizeForItemAtIndexPath:,0x11bee0,120,1,method.WCLGImageLibraryPickerViewController.collectionView:layout:sizeForItemAtIndexPath:
WCLGImageLibraryPickerViewController,-,collectionView:cellForItemAtIndexPath:,0x11bf58,880,7,sym.func.0011bf58
WCLGImageLibraryPickerViewController,-,collectionView:didSelectItemAtIndexPath:,0x11c2c8,456,3,method.WCLGImageLibraryPickerViewController.collectionView:didSelectItemAtIndexPath:
WCLGImageLibraryPickerViewController,-,category,0x11c4ac,16,1,method.WCLGImageLibraryPickerViewController.category
WCLGImageLibraryPickerViewController,-,setCategory:,0x11c4bc,12,1,method.WCLGImageLibraryPickerViewController.setCategory:
WCLGImageLibraryPickerViewController,-,onPick,0x11c4c8,16,1,method.WCLGImageLibraryPickerViewController.onPick
WCLGImageLibraryPickerViewController,-,setOnPick:,0x11c4d8,12,1,method.WCLGImageLibraryPickerViewController.setOnPick:
WCLGImageLibraryPickerViewController,-,items,0x11c4e4,16,1,method.WCLGImageLibraryPickerViewController.items
WCLGImageLibraryPickerViewController,-,setItems:,0x11c4f4,12,1,method.WCLGImageLibraryPickerViewController.setItems:
WCLGImageLibraryPickerViewController,-,collectionView,0x11c500,16,1,method.WCLGImageLibraryPickerViewController.collectionView
WCLGImageLibraryPickerViewController,-,setCollectionView:,0x11c510,20,1,method.WCLGImageLibraryPickerViewController.setCollectionView:
WCLGImageLibraryPickerViewController,-,emptyLabel,0x11c524,16,1,method.WCLGImageLibraryPickerViewController.emptyLabel
WCLGImageLibraryPickerViewController,-,setEmptyLabel:,0x11c534,20,1,method.WCLGImageLibraryPickerViewController.setEmptyLabel:
WCLGImageLibraryPickerViewController,-,collectionView:numberOfItemsInSection:,0x468a98,0,0,
WCLGImageLibraryPickerViewController,-,collectionView:cellForItemAtIndexPath:,0x468aa4,0,0,
WCLGChatAvatarMenuDelegate,-,contextMenuInteraction:configurationForMenuAtLocation:,0x1244ec,204,1,sym.func.001244ec
WCLGChatAvatarMenuDelegate,-,contextMenuInteraction:willEndForConfiguration:animator:,0x125d58,260,4,method.WCLGChatAvatarMenuDelegate.contextMenuInteraction:willEndForConfiguration:animator:
WCLGChatAvatarMenuDelegate,-,cell,0x125fd0,24,1,method.WCLGChatAvatarMenuDelegate.cell
WCLGChatAvatarMenuDelegate,-,setCell:,0x125fe8,12,1,method.WCLGChatAvatarMenuDelegate.setCell:
WCLGChatAvatarMenuDelegate,-,headView,0x125ff4,24,1,method.WCLGChatAvatarMenuDelegate.headView
WCLGChatAvatarMenuDelegate,-,setHeadView:,0x12600c,12,1,method.WCLGChatAvatarMenuDelegate.setHeadView:
WCLGChatAvatarMenuDelegate,-,frozenWxid,0x126018,8,1,method.WCLGChatAvatarMenuDelegate.frozenWxid
WCLGChatAvatarMenuDelegate,-,setFrozenWxid:,0x126020,8,1,method.WCLGChatAvatarMenuDelegate.setFrozenWxid:
WCLGChatAvatarMenuDelegate,-,frozenChatRoomId,0x126028,8,1,method.WCLGChatAvatarMenuDelegate.frozenChatRoomId
WCLGChatAvatarMenuDelegate,-,setFrozenChatRoomId:,0x126030,8,1,method.WCLGChatAvatarMenuDelegate.setFrozenChatRoomId:
WCLGChatAvatarMenuDelegate,-,frozenWrap,0x126038,8,1,method.WCLGChatAvatarMenuDelegate.frozenWrap
WCLGChatAvatarMenuDelegate,-,setFrozenWrap:,0x126040,12,1,method.WCLGChatAvatarMenuDelegate.setFrozenWrap:
WCLGChatAvatarMenuDelegate,-,contextMenuInteraction:configurationForMenuAtLocation:,0x468ab8,0,0,
WCLGChatBottomSMSProxySendTarget,-,wclg_smsSendTapped:,0x12a9dc,3276,44,method.WCLGChatBottomSMSProxySendTarget.wclg_smsSendTapped:
WCLGChatBottomSMSProxySendTarget,-,wclg_smsMoreTapped:,0x12b6a8,268,8,method.WCLGChatBottomSMSProxySendTarget.wclg_smsMoreTapped:
WCLGChatBottomSMSProxySendTarget,-,wclg_smsEmojiTapped:,0x12b7b4,60,1,method.WCLGChatBottomSMSProxySendTarget.wclg_smsEmojiTapped:
WCLGChatBottomSMSProxySendTarget,-,wclg_smsVoiceTapped:,0x12b838,60,1,method.WCLGChatBottomSMSProxySendTarget.wclg_smsVoiceTapped:
WCLGChatTextTarget,-,view,0x197518,24,1,method.WCLGChatTextTarget.view
WCLGChatTextTarget,-,setView:,0x197530,12,1,method.WCLGChatTextTarget.setView:
WCLGChatTextTarget,-,richText,0x19753c,8,1,method.WCLGChatTextTarget.richText
WCLGChatTextTarget,-,setRichText:,0x197544,8,1,method.WCLGChatTextTarget.setRichText:
WCLGChatTextTarget,-,explicitExternalTarget,0x19754c,8,1,method.WCLGChatTextTarget.explicitExternalTarget
WCLGChatTextTarget,-,setExplicitExternalTarget:,0x197554,8,1,method.WCLGChatTextTarget.setExplicitExternalTarget:
WCLGChatTextTarget,-,lastAppliedColor,0x19755c,8,1,method.WCLGChatTextTarget.lastAppliedColor
WCLGChatTextTarget,-,setLastAppliedColor:,0x197564,12,1,method.WCLGChatTextTarget.setLastAppliedColor:
WCLGChatTextTarget,-,originalTextColor,0x197570,8,1,method.WCLGChatTextTarget.originalTextColor
WCLGChatTextTarget,-,setOriginalTextColor:,0x197578,12,1,method.WCLGChatTextTarget.setOriginalTextColor:
WCLGChatTextTarget,-,originalRichTextColor,0x197584,8,1,method.WCLGChatTextTarget.originalRichTextColor
WCLGChatTextTarget,-,setOriginalRichTextColor:,0x19758c,12,1,method.WCLGChatTextTarget.setOriginalRichTextColor:
WCLGChatTextTarget,-,originalAttributedText,0x197598,8,1,method.WCLGChatTextTarget.originalAttributedText
WCLGChatTextTarget,-,setOriginalAttributedText:,0x1975a0,12,1,method.WCLGChatTextTarget.setOriginalAttributedText:
WCLGChatTextTarget,-,capturedLabelOriginals,0x1975ac,8,1,method.WCLGChatTextTarget.capturedLabelOriginals
WCLGChatTextTarget,-,setCapturedLabelOriginals:,0x1975b4,8,1,method.WCLGChatTextTarget.setCapturedLabelOriginals:
WCLGChatTextTarget,-,capturedRichTextOriginal,0x1975bc,8,1,method.WCLGChatTextTarget.capturedRichTextOriginal
WCLGChatTextTarget,-,setCapturedRichTextOriginal:,0x1975c4,8,1,method.WCLGChatTextTarget.setCapturedRichTextOriginal:
WCLGChatTextTarget,-,lastTextObject,0x1975cc,8,1,method.WCLGChatTextTarget.lastTextObject
WCLGChatTextTarget,-,setLastTextObject:,0x1975d4,8,1,method.WCLGChatTextTarget.setLastTextObject:
WCLGChatTextTarget,-,lastAttributedObject,0x1975dc,8,1,method.WCLGChatTextTarget.lastAttributedObject
WCLGChatTextTarget,-,setLastAttributedObject:,0x1975e4,8,1,method.WCLGChatTextTarget.setLastAttributedObject:
WCLGChatTextTarget,-,lastTextLength,0x1975ec,8,1,method.WCLGChatTextTarget.lastTextLength
WCLGChatTextTarget,-,setLastTextLength:,0x1975f4,8,1,method.WCLGChatTextTarget.setLastTextLength:
WCLGChatTextTarget,-,lastAttributedLength,0x1975fc,8,1,method.WCLGChatTextTarget.lastAttributedLength
WCLGChatTextTarget,-,setLastAttributedLength:,0x197604,8,1,method.WCLGChatTextTarget.setLastAttributedLength:
WCLGChatTextApplyState,-,init,0x19765c,108,3,method.WCLGChatTextApplyState.init
WCLGChatTextApplyState,-,viewModelToken,0x1976c8,8,1,method.WCLGChatTextApplyState.viewModelToken
WCLGChatTextApplyState,-,setViewModelToken:,0x1976d0,8,1,method.WCLGChatTextApplyState.setViewModelToken:
WCLGChatTextApplyState,-,stableIdentityHash,0x1976d8,8,1,method.WCLGChatTextApplyState.stableIdentityHash
WCLGChatTextApplyState,-,setStableIdentityHash:,0x1976e0,8,1,method.WCLGChatTextApplyState.setStableIdentityHash:
WCLGChatTextApplyState,-,identityGeneration,0x1976e8,8,1,method.WCLGChatTextApplyState.identityGeneration
WCLGChatTextApplyState,-,setIdentityGeneration:,0x1976f0,8,1,method.WCLGChatTextApplyState.setIdentityGeneration:
WCLGChatTextApplyState,-,contentGeneration,0x1976f8,8,1,method.WCLGChatTextApplyState.contentGeneration
WCLGChatTextApplyState,-,setContentGeneration:,0x197700,8,1,method.WCLGChatTextApplyState.setContentGeneration:
WCLGChatTextApplyState,-,targetGeneration,0x197708,8,1,method.WCLGChatTextApplyState.targetGeneration
WCLGChatTextApplyState,-,setTargetGeneration:,0x197710,8,1,method.WCLGChatTextApplyState.setTargetGeneration:
WCLGChatTextApplyState,-,layoutGeneration,0x197718,8,1,method.WCLGChatTextApplyState.layoutGeneration
WCLGChatTextApplyState,-,setLayoutGeneration:,0x197720,8,1,method.WCLGChatTextApplyState.setLayoutGeneration:
WCLGChatTextApplyState,-,layoutDepth,0x197728,8,1,method.WCLGChatTextApplyState.layoutDepth
WCLGChatTextApplyState,-,setLayoutDepth:,0x197730,8,1,method.WCLGChatTextApplyState.setLayoutDepth:
WCLGChatTextApplyState,-,lastAppliedLayoutGeneration,0x197738,8,1,method.WCLGChatTextApplyState.lastAppliedLayoutGeneration
WCLGChatTextApplyState,-,setLastAppliedLayoutGeneration:,0x197740,8,1,method.WCLGChatTextApplyState.setLastAppliedLayoutGeneration:
WCLGChatTextApplyState,-,lastApplySignature,0x197748,8,1,method.WCLGChatTextApplyState.lastApplySignature
WCLGChatTextApplyState,-,setLastApplySignature:,0x197750,8,1,method.WCLGChatTextApplyState.setLastApplySignature:
WCLGChatTextApplyState,-,targetStructureSignature,0x197758,8,1,method.WCLGChatTextApplyState.targetStructureSignature
WCLGChatTextApplyState,-,setTargetStructureSignature:,0x197760,8,1,method.WCLGChatTextApplyState.setTargetStructureSignature:
WCLGChatTextApplyState,-,contentSignature,0x197768,8,1,method.WCLGChatTextApplyState.contentSignature
WCLGChatTextApplyState,-,setContentSignature:,0x197770,8,1,method.WCLGChatTextApplyState.setContentSignature:
WCLGChatTextApplyState,-,nextFallbackScanLayoutGeneration,0x197778,8,1,method.WCLGChatTextApplyState.nextFallbackScanLayoutGeneration
WCLGChatTextApplyState,-,setNextFallbackScanLayoutGeneration:,0x197780,8,1,method.WCLGChatTextApplyState.setNextFallbackScanLayoutGeneration:
WCLGChatTextApplyState,-,contentView,0x197788,24,1,method.WCLGChatTextApplyState.contentView
WCLGChatTextApplyState,-,setContentView:,0x1977a0,12,1,method.WCLGChatTextApplyState.setContentView:
WCLGChatTextApplyState,-,bodyView,0x1977ac,24,1,method.WCLGChatTextApplyState.bodyView
WCLGChatTextApplyState,-,setBodyView:,0x1977c4,12,1,method.WCLGChatTextApplyState.setBodyView:
WCLGChatTextApplyState,-,targets,0x1977d0,8,1,method.WCLGChatTextApplyState.targets
WCLGChatTextApplyState,-,setTargets:,0x1977d8,8,1,method.WCLGChatTextApplyState.setTargets:
WCLGChatTextApplyState,-,resolvedColorSignature,0x1977e0,8,1,method.WCLGChatTextApplyState.resolvedColorSignature
WCLGChatTextApplyState,-,setResolvedColorSignature:,0x1977e8,8,1,method.WCLGChatTextApplyState.setResolvedColorSignature:
WCLGChatTextApplyState,-,resolvedDarkMode,0x1977f0,8,1,method.WCLGChatTextApplyState.resolvedDarkMode
WCLGChatTextApplyState,-,setResolvedDarkMode:,0x1977f8,8,1,method.WCLGChatTextApplyState.setResolvedDarkMode:
WCLGChatTextApplyState,-,resolvedOutgoing,0x197800,8,1,method.WCLGChatTextApplyState.resolvedOutgoing
WCLGChatTextApplyState,-,setResolvedOutgoing:,0x197808,8,1,method.WCLGChatTextApplyState.setResolvedOutgoing:
WCLGChatTextApplyState,-,resolvedPayment,0x197810,8,1,method.WCLGChatTextApplyState.resolvedPayment
WCLGChatTextApplyState,-,setResolvedPayment:,0x197818,8,1,method.WCLGChatTextApplyState.setResolvedPayment:
WCLGChatTextApplyState,-,resolvedColor,0x197820,8,1,method.WCLGChatTextApplyState.resolvedColor
WCLGChatTextApplyState,-,setResolvedColor:,0x197828,12,1,method.WCLGChatTextApplyState.setResolvedColor:
WCLGBubbleFlushDriver,+,shared,0x1a99b4,48,3,method.class.WCLGBubbleFlushDriver.shared
WCLGBubbleFlushDriver,-,kick,0x1a9a18,292,3,method.WCLGBubbleFlushDriver.kick
WCLGBubbleFlushDriver,-,tick:,0x1a9b3c,1632,41,method.WCLGBubbleFlushDriver.tick:
WCLGBubbleFlushDriver,-,link,0x1aa19c,8,1,method.WCLGBubbleFlushDriver.link
WCLGBubbleFlushDriver,-,setLink:,0x1aa1a4,12,1,method.WCLGBubbleFlushDriver.setLink:
WCLGNativeProfileTitleHitView,-,initWithFrame:,0x1db6c0,96,3,method.WCLGNativeProfileTitleHitView.initWithFrame:
WCLGNativeProfileTitleHitView,-,pointInside:withEvent:,0x1db720,352,7,method.WCLGNativeProfileTitleHitView.pointInside:withEvent:
WCLGNativeProfileTitleHitView,-,wclgHitRect,0x1db880,24,1,method.WCLGNativeProfileTitleHitView.wclgHitRect
WCLGNativeProfileTitleHitView,-,setWclgHitRect:,0x1db898,24,1,method.WCLGNativeProfileTitleHitView.setWclgHitRect:
WCLGNativeProfileTitleHitView,-,wclgCircularHitTest,0x1db8b0,16,1,method.WCLGNativeProfileTitleHitView.wclgCircularHitTest
WCLGNativeProfileTitleHitView,-,setWclgCircularHitTest:,0x1db8c0,16,1,method.WCLGNativeProfileTitleHitView.setWclgCircularHitTest:
WCLGNativeProfileTitleTapTarget,-,wclg_nativeProfileTitleTapped:,0x1db8d0,5820,47,method.WCLGNativeProfileTitleTapTarget.wclg_nativeProfileTitleTapped:
WCLGNativeProfileTitleTapTarget,-,controller,0x1dcf8c,8,1,method.WCLGNativeProfileTitleTapTarget.controller
WCLGNativeProfileTitleTapTarget,-,setController:,0x1dcf94,8,1,method.WCLGNativeProfileTitleTapTarget.setController:
WCLGCapsuleSearchGestureTarget,+,shared,0x21651c,116,3,method.class.WCLGCapsuleSearchGestureTarget.shared
WCLGCapsuleSearchGestureTarget,-,handleLongPress:,0x2165b8,468,13,method.WCLGCapsuleSearchGestureTarget.handleLongPress:
WCLGChatTopCapsuleHostView,-,initWithFrame:,0x225e8c,1372,5,method.WCLGChatTopCapsuleHostView.initWithFrame:
WCLGChatTopCapsuleHostView,-,setAvatarView:,0x2263e8,156,5,method.WCLGChatTopCapsuleHostView.setAvatarView:
WCLGChatTopCapsuleHostView,-,layoutSubviews,0x226484,1172,22,method.WCLGChatTopCapsuleHostView.layoutSubviews
WCLGChatTopCapsuleHostView,-,wclg_handleTap,0x226918,492,13,method.WCLGChatTopCapsuleHostView.wclg_handleTap
WCLGChatTopCapsuleHostView,-,cachedTitle,0x226b04,16,1,method.WCLGChatTopCapsuleHostView.cachedTitle
WCLGChatTopCapsuleHostView,-,setCachedTitle:,0x226b14,12,1,method.WCLGChatTopCapsuleHostView.setCachedTitle:
WCLGChatTopCapsuleHostView,-,titleLabel,0x226b20,16,1,method.WCLGChatTopCapsuleHostView.titleLabel
WCLGChatTopCapsuleHostView,-,setTitleLabel:,0x226b30,20,1,method.WCLGChatTopCapsuleHostView.setTitleLabel:
WCLGChatTopCapsuleHostView,-,subtitleLabel,0x226b44,16,1,method.WCLGChatTopCapsuleHostView.subtitleLabel
WCLGChatTopCapsuleHostView,-,setSubtitleLabel:,0x226b54,20,1,method.WCLGChatTopCapsuleHostView.setSubtitleLabel:
WCLGChatTopCapsuleHostView,-,subtitleIconView,0x226b68,16,1,method.WCLGChatTopCapsuleHostView.subtitleIconView
WCLGChatTopCapsuleHostView,-,setSubtitleIconView:,0x226b78,20,1,method.WCLGChatTopCapsuleHostView.setSubtitleIconView:
WCLGChatTopCapsuleHostView,-,avatarView,0x226b8c,16,1,method.WCLGChatTopCapsuleHostView.avatarView
WCLGChatTopCapsuleHostView,-,controller,0x226b9c,32,1,method.WCLGChatTopCapsuleHostView.controller
WCLGChatTopCapsuleHostView,-,setController:,0x226bbc,20,1,method.WCLGChatTopCapsuleHostView.setController:
WCLGChatTopCapsuleHostView,-,avatarOnLeft,0x226bd0,16,1,method.WCLGChatTopCapsuleHostView.avatarOnLeft
WCLGChatTopCapsuleHostView,-,setAvatarOnLeft:,0x226be0,16,1,method.WCLGChatTopCapsuleHostView.setAvatarOnLeft:
WCLGChatTopFadeOverlayHost,-,initWithFrame:,0x229d60,772,5,method.WCLGChatTopFadeOverlayHost.initWithFrame:
WCLGChatTopFadeOverlayHost,-,layoutSubviews,0x22a064,432,3,method.WCLGChatTopFadeOverlayHost.layoutSubviews
WCLGChatTopFadeOverlayHost,-,scrollView,0x22a388,32,1,method.WCLGChatTopFadeOverlayHost.scrollView
WCLGChatTopFadeOverlayHost,-,setScrollView:,0x22a3a8,20,1,method.WCLGChatTopFadeOverlayHost.setScrollView:
WCLGChatTopFadeOverlayHost,-,overlayMode,0x22a3bc,16,1,method.WCLGChatTopFadeOverlayHost.overlayMode
WCLGChatTopFadeOverlayHost,-,setOverlayMode:,0x22a3cc,16,1,method.WCLGChatTopFadeOverlayHost.setOverlayMode:
WCLGChatTopFadeOverlayHost,-,edgeView,0x22a3dc,16,1,method.WCLGChatTopFadeOverlayHost.edgeView
WCLGChatTopFadeOverlayHost,-,setEdgeView:,0x22a3ec,20,1,method.WCLGChatTopFadeOverlayHost.setEdgeView:
WCLGChatBottomFadeOverlayHost,-,initWithFrame:,0x22a43c,840,5,method.WCLGChatBottomFadeOverlayHost.initWithFrame:
WCLGChatBottomFadeOverlayHost,-,layoutSubviews,0x22a784,432,3,method.WCLGChatBottomFadeOverlayHost.layoutSubviews
WCLGChatBottomFadeOverlayHost,-,scrollView,0x22a934,32,1,method.WCLGChatBottomFadeOverlayHost.scrollView
WCLGChatBottomFadeOverlayHost,-,setScrollView:,0x22a954,20,1,method.WCLGChatBottomFadeOverlayHost.setScrollView:
WCLGChatBottomFadeOverlayHost,-,edgeView,0x22a968,16,1,method.WCLGChatBottomFadeOverlayHost.edgeView
WCLGChatBottomFadeOverlayHost,-,setEdgeView:,0x22a978,20,1,method.WCLGChatBottomFadeOverlayHost.setEdgeView:
WCLGChatBottomFadeOverlayHost,-,configuredBlurRadius,0x22a98c,16,1,method.WCLGChatBottomFadeOverlayHost.configuredBlurRadius
WCLGChatBottomFadeOverlayHost,-,setConfiguredBlurRadius:,0x22a99c,16,1,method.WCLGChatBottomFadeOverlayHost.setConfiguredBlurRadius:
WCLGChatTopMorphMenuView,-,initWithFrame:,0x231770,1872,12,method.WCLGChatTopMorphMenuView.initWithFrame:
WCLGChatTopMorphMenuView,-,layoutSubviews,0x231ec0,208,1,method.WCLGChatTopMorphMenuView.layoutSubviews
WCLGChatTopMorphMenuView,-,reloadRows,0x231f90,2284,27,method.WCLGChatTopMorphMenuView.reloadRows
WCLGChatTopMorphMenuView,-,handleMenuTap:,0x233bf8,220,5,method.WCLGChatTopMorphMenuView.handleMenuTap:
WCLGChatTopMorphMenuView,-,setHighlightedIndex:,0x233cd4,652,13,method.WCLGChatTopMorphMenuView.setHighlightedIndex:
WCLGChatTopMorphMenuView,-,indexForPoint:,0x233f60,300,9,method.WCLGChatTopMorphMenuView.indexForPoint:
WCLGChatTopMorphMenuView,-,controller,0x23408c,32,1,method.WCLGChatTopMorphMenuView.controller
WCLGChatTopMorphMenuView,-,setController:,0x2340ac,20,1,method.WCLGChatTopMorphMenuView.setController:
WCLGChatTopMorphMenuView,-,isGroup,0x2340c0,16,1,method.WCLGChatTopMorphMenuView.isGroup
WCLGChatTopMorphMenuView,-,setIsGroup:,0x2340d0,16,1,method.WCLGChatTopMorphMenuView.setIsGroup:
WCLGChatTopMorphMenuView,-,highlightedIndex,0x2340e0,16,1,method.WCLGChatTopMorphMenuView.highlightedIndex
